,States,Abbreviations,Mentions
0,alabama,AL,16
1,alaska,AK,14
2,arizona,AZ,24
3,arkansas,AR,12
4,california,CA,107
5,colorado,CO,19
6,connecticut,CT,0
7,dc,DC,9
8,delaware,DE,3
9,florida,FL,60
10,georgia,GA,28
11,hawaii,HI,12
12,idaho,ID,4
13,illinois,IL,21
14,indiana,IN,22
15,iowa,IA,32
16,kansas,KS,50
17,kentucky,KY,23
18,louisiana,LA,26
19,maine,ME,12
20,maryland,MD,18
21,massachusetts,MA,20
22,michigan,MI,34
23,minnesota,MN,9
24,mississippi,MS,7
25,missouri,MO,22
26,montana,MT,12
27,nebraska,NE,9
28,nevada,NV,14
29,new hampshire,NH,19
30,new jersey,NJ,20
31,mexico,NM,74
32,new york,NY,180
33,south carolina,NC,17
34,south dakota,ND,3
35,ohio,OH,42
36,oklahoma,OK,8
37,oregon,OR,12
38,pennsylvania,PA,47
39,rhode island,RI,6
40,north carolina,SC,25
41,north dakota,SD,15
42,tennessee,TN,51
43,texas,TX,79
44,utah,UT,19
45,vermont,VT,7
46,virginia,VA,29
47,washington state,WA,0
48,virginia,WV,29
49,wisconsin,WI,24
50,wyoming,WY,6
